"node1","node2","interaction"
"AMER1","APC",0
"AMER1","AXIN1",0
"AMER1","GSK3B",0
"AMER1","CSNK1A1",0
"AMER1","CTNNB1",0
"APC","CSNK1A1",0
"APC","DVL1",0
"APC","DLG1",0
"APC","CTNNBIP1",0
"APC","AMER1",0
"APC","AXIN2",0
"APC","ARHGEF4",0
"APC","GSK3B",0
"APC","AXIN1",0
"APC","CTNNB1",0
"ARHGEF4","APC",0
"AXIN1","APC",0
"AXIN1","CTNNBIP1",0
"AXIN1","AXIN2",0
"AXIN1","AMER1",0
"AXIN1","CSNK1A1",0
"AXIN1","DVL1",0
"AXIN1","CTNNB1",0
"AXIN1","GSK3B",0
"AXIN2","APC",0
"AXIN2","AXIN1",0
"AXIN2","CTNNBIP1",0
"AXIN2","CSNK1A1",0
"AXIN2","DVL1",0
"AXIN2","GSK3B",0
"AXIN2","CTNNB1",0
"CSNK1A1","APC",0
"CSNK1A1","AXIN1",0
"CSNK1A1","AXIN2",0
"CSNK1A1","GSK3B",0
"CSNK1A1","AMER1",0
"CSNK1A1","CTNNB1",0
"CSNK1A1","CTNNBIP1",0
"CTNNB1","APC",0
"CTNNB1","AXIN1",0
"CTNNB1","AXIN2",0
"CTNNB1","GSK3B",0
"CTNNB1","AMER1",0
"CTNNB1","CSNK1A1",0
"CTNNB1","DVL1",0
"CTNNB1","CTNNBIP1",0
"CTNNBIP1","APC",0
"CTNNBIP1","AXIN1",0
"CTNNBIP1","AXIN2",0
"CTNNBIP1","GSK3B",0
"CTNNBIP1","CTNNB1",0
"CTNNBIP1","CSNK1A1",0
"DLG1","APC",0
"DVL1","APC",0
"DVL1","AXIN1",0
"DVL1","AXIN2",0
"DVL1","GSK3B",0
"DVL1","CTNNB1",0
"GSK3B","APC",0
"GSK3B","AXIN1",0
"GSK3B","AXIN2",0
"GSK3B","CTNNBIP1",0
"GSK3B","AMER1",0
"GSK3B","DVL1",0
"GSK3B","CSNK1A1",0
"GSK3B","CTNNB1",0
